city,latitude,longitude,timestamp,currentspeed,freeflowspeed,currenttraveltime,freeflowtraveltime,confidence,roadclosure,source
Ujjain,23.1765,75.7885,2025-11-27 16:44:09.016785,1970-01-01 00:00:00.000000018,26,1970-01-01 00:00:00.000000425,1970-01-01 00:00:00.000000294,0.759761,False,traffic_live
Bhopal,23.2599,77.4126,2025-11-27 16:44:10.277686,1970-01-01 00:00:00.000000017,22,1970-01-01 00:00:00.000000578,1970-01-01 00:00:00.000000447,0.823311,False,traffic_live
Indore,22.7196,75.8577,2025-11-27 16:44:41.818879,1970-01-01 00:00:00.000000012,22,1970-01-01 00:00:00.000000241,1970-01-01 00:00:00.000000131,1.0,False,traffic_live
Dewas,22.9676,76.0534,2025-11-27 16:44:43.113586,1970-01-01 00:00:00.000000035,43,1970-01-01 00:00:00.000000987,1970-01-01 00:00:00.000000804,0.927875,False,traffic_live
Ujjain,23.1765,75.7885,2025-11-27 16:44:44.453129,1970-01-01 00:00:00.000000018,26,1970-01-01 00:00:00.000000425,1970-01-01 00:00:00.000000294,0.761854,False,traffic_live
Bhopal,23.2599,77.4126,2025-11-27 16:44:45.739570,1970-01-01 00:00:00.000000017,22,1970-01-01 00:00:00.000000578,1970-01-01 00:00:00.000000447,0.826598,False,traffic_live
Indore,22.7196,75.8577,2025-11-27 16:45:17.343674,1970-01-01 00:00:00.000000013,21,1970-01-01 00:00:00.000000222,1970-01-01 00:00:00.000000138,0.99,False,traffic_live
Dewas,22.9676,76.0534,2025-11-27 16:45:18.720264,1970-01-01 00:00:00.000000035,44,1970-01-01 00:00:00.000000987,1970-01-01 00:00:00.000000785,0.941038,False,traffic_live
Ujjain,23.1765,75.7885,2025-11-27 16:45:20.167848,1970-01-01 00:00:00.000000018,26,1970-01-01 00:00:00.000000425,1970-01-01 00:00:00.000000294,0.783483,False,traffic_live
Bhopal,23.2599,77.4126,2025-11-27 16:45:21.606876,1970-01-01 00:00:00.000000017,21,1970-01-01 00:00:00.000000578,1970-01-01 00:00:00.000000468,0.821436,False,traffic_live
Indore,22.7196,75.8577,2025-11-27 16:45:53.164564,1970-01-01 00:00:00.000000015,22,1970-01-01 00:00:00.000000193,1970-01-01 00:00:00.000000131,0.99,False,traffic_live
Dewas,22.9676,76.0534,2025-11-27 16:45:54.491548,1970-01-01 00:00:00.000000035,44,1970-01-01 00:00:00.000000987,1970-01-01 00:00:00.000000785,0.94122,False,traffic_live
Ujjain,23.1765,75.7885,2025-11-27 16:45:55.786822,1970-01-01 00:00:00.000000018,26,1970-01-01 00:00:00.000000425,1970-01-01 00:00:00.000000294,0.78139,False,traffic_live
Bhopal,23.2599,77.4126,2025-11-27 16:45:57.261840,1970-01-01 00:00:00.000000017,22,1970-01-01 00:00:00.000000578,1970-01-01 00:00:00.000000447,0.819195,False,traffic_live
Indore,22.7196,75.8577,2025-11-27 16:46:28.803360,1970-01-01 00:00:00.000000015,21,1970-01-01 00:00:00.000000193,1970-01-01 00:00:00.000000138,0.99,False,traffic_live
Dewas,22.9676,76.0534,2025-11-27 16:46:30.161525,1970-01-01 00:00:00.000000035,44,1970-01-01 00:00:00.000000987,1970-01-01 00:00:00.000000785,0.941758,False,traffic_live
Ujjain,23.1765,75.7885,2025-11-27 16:46:31.466485,1970-01-01 00:00:00.000000018,26,1970-01-01 00:00:00.000000425,1970-01-01 00:00:00.000000294,0.84,False,traffic_live
Bhopal,23.2599,77.4126,2025-11-27 16:46:32.809623,1970-01-01 00:00:00.000000017,22,1970-01-01 00:00:00.000000578,1970-01-01 00:00:00.000000447,0.813595,False,traffic_live
Indore,22.7196,75.8577,2025-11-27 16:47:04.289311,1970-01-01 00:00:00.000000015,22,1970-01-01 00:00:00.000000193,1970-01-01 00:00:00.000000131,0.99,False,traffic_live
Dewas,22.9676,76.0534,2025-11-27 16:47:05.641112,1970-01-01 00:00:00.000000035,43,1970-01-01 00:00:00.000000987,1970-01-01 00:00:00.000000804,0.951256,False,traffic_live
Ujjain,23.1765,75.7885,2025-11-27 16:47:07.043426,1970-01-01 00:00:00.000000018,27,1970-01-01 00:00:00.000000425,1970-01-01 00:00:00.000000283,0.83,False,traffic_live
Bhopal,23.2599,77.4126,2025-11-27 16:47:08.366459,1970-01-01 00:00:00.000000016,22,1970-01-01 00:00:00.000000614,1970-01-01 00:00:00.000000447,0.813595,False,traffic_live
Indore,22.7196,75.8577,2025-11-27 16:47:39.858114,1970-01-01 00:00:00.000000015,22,1970-01-01 00:00:00.000000193,1970-01-01 00:00:00.000000131,0.99,False,traffic_live
Dewas,22.9676,76.0534,2025-11-27 16:47:41.140554,1970-01-01 00:00:00.000000035,43,1970-01-01 00:00:00.000000987,1970-01-01 00:00:00.000000804,0.951256,False,traffic_live
Ujjain,23.1765,75.7885,2025-11-27 16:47:42.478875,1970-01-01 00:00:00.000000018,27,1970-01-01 00:00:00.000000425,1970-01-01 00:00:00.000000283,0.83,False,traffic_live
Bhopal,23.2599,77.4126,2025-11-27 16:47:43.882429,1970-01-01 00:00:00.000000016,22,1970-01-01 00:00:00.000000614,1970-01-01 00:00:00.000000447,0.813595,False,traffic_live
Indore,22.7196,75.8577,2025-11-27 16:48:15.411180,1970-01-01 00:00:00.000000015,22,1970-01-01 00:00:00.000000193,1970-01-01 00:00:00.000000131,0.99,False,traffic_live
Dewas,22.9676,76.0534,2025-11-27 16:48:16.745341,1970-01-01 00:00:00.000000035,43,1970-01-01 00:00:00.000000987,1970-01-01 00:00:00.000000804,0.955474,False,traffic_live
Ujjain,23.1765,75.7885,2025-11-27 16:48:18.101298,1970-01-01 00:00:00.000000018,27,1970-01-01 00:00:00.000000425,1970-01-01 00:00:00.000000283,0.83,False,traffic_live
Bhopal,23.2599,77.4126,2025-11-27 16:48:19.404856,1970-01-01 00:00:00.000000016,21,1970-01-01 00:00:00.000000614,1970-01-01 00:00:00.000000468,0.819173,False,traffic_live
Indore,22.7196,75.8577,2025-11-27 16:48:51.075427,1970-01-01 00:00:00.000000013,22,1970-01-01 00:00:00.000000222,1970-01-01 00:00:00.000000131,0.99,False,traffic_live
Dewas,22.9676,76.0534,2025-11-27 16:48:52.524366,1970-01-01 00:00:00.000000035,44,1970-01-01 00:00:00.000000987,1970-01-01 00:00:00.000000785,0.956586,False,traffic_live
Ujjain,23.1765,75.7885,2025-11-27 16:48:53.957507,1970-01-01 00:00:00.000000018,27,1970-01-01 00:00:00.000000425,1970-01-01 00:00:00.000000283,0.822093,False,traffic_live
Bhopal,23.2599,77.4126,2025-11-27 16:48:55.430243,1970-01-01 00:00:00.000000017,21,1970-01-01 00:00:00.000000578,1970-01-01 00:00:00.000000468,0.790651,False,traffic_live
Indore,22.7196,75.8577,2025-11-27 16:49:27.003570,1970-01-01 00:00:00.000000013,22,1970-01-01 00:00:00.000000222,1970-01-01 00:00:00.000000131,0.99,False,traffic_live
Dewas,22.9676,76.0534,2025-11-27 16:49:28.434020,1970-01-01 00:00:00.000000035,44,1970-01-01 00:00:00.000000987,1970-01-01 00:00:00.000000785,0.956586,False,traffic_live
Ujjain,23.1765,75.7885,2025-11-27 16:49:30.839414,1970-01-01 00:00:00.000000018,27,1970-01-01 00:00:00.000000425,1970-01-01 00:00:00.000000283,0.822093,False,traffic_live
Bhopal,23.2599,77.4126,2025-11-27 16:49:32.244913,1970-01-01 00:00:00.000000017,22,1970-01-01 00:00:00.000000578,1970-01-01 00:00:00.000000447,0.794141,False,traffic_live
