city,latitude,longitude,timestamp,currentspeed,freeflowspeed,currenttraveltime,freeflowtraveltime,confidence,roadclosure,source
Indore,22.7196,75.8577,2025-11-27 16:24:11.914034,1970-01-01 00:00:00.000000016,22,1970-01-01 00:00:00.000000181,1970-01-01 00:00:00.000000131,0.99,False,traffic_live
Dewas,22.9676,76.0534,2025-11-27 16:24:12.872125,1970-01-01 00:00:00.000000034,43,1970-01-01 00:00:00.000001016,1970-01-01 00:00:00.000000804,0.953908,False,traffic_live
Ujjain,23.1765,75.7885,2025-11-27 16:24:13.839388,1970-01-01 00:00:00.000000021,26,1970-01-01 00:00:00.000000364,1970-01-01 00:00:00.000000294,0.81,False,traffic_live
Bhopal,23.2599,77.4126,2025-11-27 16:24:15.049332,1970-01-01 00:00:00.000000017,21,1970-01-01 00:00:00.000000578,1970-01-01 00:00:00.000000468,0.755519,False,traffic_live
Indore,22.7196,75.8577,2025-11-27 16:24:46.402700,1970-01-01 00:00:00.000000015,21,1970-01-01 00:00:00.000000193,1970-01-01 00:00:00.000000138,0.99,False,traffic_live
Dewas,22.9676,76.0534,2025-11-27 16:24:47.548175,1970-01-01 00:00:00.000000034,43,1970-01-01 00:00:00.000001016,1970-01-01 00:00:00.000000804,0.95046,False,traffic_live
Ujjain,23.1765,75.7885,2025-11-27 16:24:48.732588,1970-01-01 00:00:00.000000021,26,1970-01-01 00:00:00.000000364,1970-01-01 00:00:00.000000294,0.81,False,traffic_live
Bhopal,23.2599,77.4126,2025-11-27 16:24:49.864782,1970-01-01 00:00:00.000000017,21,1970-01-01 00:00:00.000000578,1970-01-01 00:00:00.000000468,0.755519,False,traffic_live
Indore,22.7196,75.8577,2025-11-27 16:25:21.288372,1970-01-01 00:00:00.000000014,21,1970-01-01 00:00:00.000000207,1970-01-01 00:00:00.000000138,0.99,False,traffic_live
Dewas,22.9676,76.0534,2025-11-27 16:25:22.536949,1970-01-01 00:00:00.000000034,43,1970-01-01 00:00:00.000001016,1970-01-01 00:00:00.000000804,0.95046,False,traffic_live
Ujjain,23.1765,75.7885,2025-11-27 16:25:23.734761,1970-01-01 00:00:00.000000021,26,1970-01-01 00:00:00.000000364,1970-01-01 00:00:00.000000294,0.81,False,traffic_live
Bhopal,23.2599,77.4126,2025-11-27 16:25:24.955523,1970-01-01 00:00:00.000000017,21,1970-01-01 00:00:00.000000578,1970-01-01 00:00:00.000000468,0.755519,False,traffic_live
