City,Latitude,Longitude,Timestamp,Temperature,Humidity,Pressure,Wind_Speed,Wind_Direction,Cloudiness,Visibility,Source
Indore,22.7196,75.8577,2025-12-11 18:57:42,12.09,76,1016,0.0,0,0,3000,OpenWeather
Bhopal,23.2599,77.4126,2025-12-11 18:58:54,13.18,58,1016,0.0,0,0,4000,OpenWeather
Ujjain,23.1765,75.7885,2025-12-11 18:58:54,16.71,28,1017,1.26,40,0,10000,OpenWeather
Dewas,22.9676,76.0534,2025-12-11 18:58:54,16.12,30,1017,1.52,36,0,10000,OpenWeather
Indore,22.7196,75.8577,2025-12-11 19:05:54,12.09,76,1016,0.0,0,0,3000,OpenWeather
Bhopal,23.2599,77.4126,2025-12-11 19:05:54,13.18,58,1016,0.0,0,0,4000,OpenWeather
Ujjain,23.1765,75.7885,2025-12-11 19:05:54,16.71,28,1017,1.26,40,0,10000,OpenWeather
Dewas,22.9676,76.0534,2025-12-11 19:05:54,16.12,30,1017,1.52,36,0,10000,OpenWeather
