City,Latitude,Longitude,Timestamp,Temperature (°C),Humidity (%),Pressure (hPa),Wind Speed (m/s),Wind Direction (°),Cloudiness (%),Visibility (m),Source
Bhopal,23.2599,77.4126,2025-11-30 05:09:00,23.18,31,1017,1.54,50,20,4500,OpenWeather
Indore,22.7196,75.8577,2025-11-30 05:15:31,25.09,41,1017,3.09,120,100,5000,OpenWeather
Bhopal,23.2599,77.4126,2025-11-30 05:19:31,23.18,31,1017,1.54,50,20,4500,OpenWeather
Ujjain,23.1765,75.7885,2025-11-30 05:15:32,23.56,34,1017,2.92,96,99,10000,OpenWeather
Dewas,22.9676,76.0534,2025-11-30 05:15:32,22.93,34,1017,2.84,89,100,10000,OpenWeather
