Station,Lat,Lon,Timestamp,CO,NO,NO2,O3,SO2,PM2_5,PM10,NH3,AQI,Type
Dewas - City Center,22.97,76.05,2025-11-16 01:30:57,318.13,0.02,3.74,65.79,2.63,44.11,57.48,8.68,3,Live
Dewas - Industrial Area,22.95,76.07,2025-11-16 01:30:57,318.13,0.02,3.74,65.79,2.63,44.11,57.48,8.68,3,Live
Dewas - Uday Nagar,23.01,76.09,2025-11-16 01:30:57,342.33,0.03,4.83,52.82,2.35,45.64,59.12,9.85,3,Live
Dewas - Station Road,22.97,76.06,2025-11-16 01:30:57,318.13,0.02,3.74,65.79,2.63,44.11,57.48,8.68,3,Live
Dewas - A.B. Road,22.96,76.07,2025-11-16 01:30:57,318.13,0.02,3.74,65.79,2.63,44.11,57.48,8.68,3,Live
Dewas - Rajendra Nagar,22.98,76.05,2025-11-16 01:30:57,318.13,0.02,3.74,65.79,2.63,44.11,57.48,8.68,3,Live
Dewas - Bavlia,22.95,76.1,2025-11-16 01:30:57,318.13,0.02,3.74,65.79,2.63,44.11,57.48,8.68,3,Live
Dewas - Bhopal Road,22.99,76.08,2025-11-16 01:30:57,318.13,0.02,3.74,65.79,2.63,44.11,57.48,8.68,3,Live
Dewas - Meera Nagar,22.96,76.04,2025-11-16 01:30:57,318.13,0.02,3.74,65.79,2.63,44.11,57.48,8.68,3,Live
Dewas - Kailash Nagar,22.95,76.05,2025-11-16 01:30:57,318.13,0.02,3.74,65.79,2.63,44.11,57.48,8.68,3,Live
Dewas - Hatpipliya Road,22.93,76.07,2025-11-16 01:30:57,318.13,0.02,3.74,65.79,2.63,44.11,57.48,8.68,3,Live
Dewas - Kalani Nagar,22.97,76.09,2025-11-16 01:30:57,318.13,0.02,3.74,65.79,2.63,44.11,57.48,8.68,3,Live
Indore - MG Road,22.718,75.847,2025-11-16 01:31:34,287.55,0.01,2.57,82.46,2.97,42.48,55.98,7.11,3,Live
Indore - Vijay Nagar,22.735,75.88,2025-11-16 01:31:34,287.55,0.01,2.57,82.46,2.97,42.48,55.98,7.11,3,Live
Indore - AB Road,22.726,75.889,2025-11-16 01:31:34,287.55,0.01,2.57,82.46,2.97,42.48,55.98,7.11,3,Live
Indore - Rau,22.74,75.83,2025-11-16 01:31:34,287.55,0.01,2.57,82.46,2.97,42.48,55.98,7.11,3,Live
Indore - Palasia,22.72,75.88,2025-11-16 01:31:34,287.55,0.01,2.57,82.46,2.97,42.48,55.98,7.11,3,Live
Indore - Rajwada,22.7196,75.855,2025-11-16 01:31:34,287.55,0.01,2.57,82.46,2.97,42.48,55.98,7.11,3,Live
Indore - Airport Road,22.72,75.8,2025-11-16 01:31:34,287.55,0.01,2.57,82.46,2.97,42.48,55.98,7.11,3,Live
Indore - Bhawarkua,22.72,75.84,2025-11-16 01:31:34,287.55,0.01,2.57,82.46,2.97,42.48,55.98,7.11,3,Live
Indore - Annapurna,22.7,75.86,2025-11-16 01:31:34,287.55,0.01,2.57,82.46,2.97,42.48,55.98,7.11,3,Live
Indore - Sanwer Road Industrial,22.79,75.84,2025-11-16 01:31:34,287.55,0.01,2.57,82.46,2.97,42.48,55.98,7.11,3,Live
Indore - Ring Road,22.74,75.88,2025-11-16 01:31:34,287.55,0.01,2.57,82.46,2.97,42.48,55.98,7.11,3,Live
Indore - CAT Road,22.78,75.86,2025-11-16 01:31:34,287.55,0.01,2.57,82.46,2.97,42.48,55.98,7.11,3,Live
Indore - Mhow Naka,22.69,75.87,2025-11-16 01:31:34,287.55,0.01,2.57,82.46,2.97,42.48,55.98,7.11,3,Live
Bhopal - MP Nagar,23.238,77.4125,2025-11-16 01:31:34,321.54,0.02,2.64,68.21,1.69,40.9,48.8,10.01,3,Live
Bhopal - Habibganj,23.26,77.398,2025-11-16 01:31:34,332.8,0.02,3.32,60.31,1.52,40.67,48.95,10.14,3,Live
Bhopal - Arera Hills,23.251,77.412,2025-11-16 01:31:34,321.54,0.02,2.64,68.21,1.69,40.9,48.8,10.01,3,Live
Bhopal - Ayodhya Bypass,23.267,77.435,2025-11-16 01:31:34,321.54,0.02,2.64,68.21,1.69,40.9,48.8,10.01,3,Live
Bhopal - Lalghati,23.285,77.383,2025-11-16 01:31:34,332.8,0.02,3.32,60.31,1.52,40.67,48.95,10.14,3,Live
Bhopal - Kolar Road,23.2,77.43,2025-11-16 01:31:34,321.54,0.02,2.64,68.21,1.69,40.9,48.8,10.01,3,Live
Bhopal - Bairagarh,23.29,77.36,2025-11-16 01:31:34,332.8,0.02,3.32,60.31,1.52,40.67,48.95,10.14,3,Live
Bhopal - Govindpura Industrial,23.26,77.47,2025-11-16 01:31:34,321.54,0.02,2.64,68.21,1.69,40.9,48.8,10.01,3,Live
Bhopal - Misrod,23.2,77.49,2025-11-16 01:31:34,321.54,0.02,2.64,68.21,1.69,40.9,48.8,10.01,3,Live
Bhopal - BHEL Area,23.27,77.49,2025-11-16 01:31:34,321.54,0.02,2.64,68.21,1.69,40.9,48.8,10.01,3,Live
Bhopal - Shahpura,23.21,77.43,2025-11-16 01:31:34,321.54,0.02,2.64,68.21,1.69,40.9,48.8,10.01,3,Live
Bhopal - Piplani,23.25,77.48,2025-11-16 01:31:34,321.54,0.02,2.64,68.21,1.69,40.9,48.8,10.01,3,Live
Bhopal - Ashoka Garden,23.27,77.42,2025-11-16 01:31:34,321.54,0.02,2.64,68.21,1.69,40.9,48.8,10.01,3,Live
Ujjain - Freeganj,23.18,75.78,2025-11-16 01:31:34,339.13,0.02,4.62,58.27,2.53,46.84,61.16,9.87,3,Live
Ujjain - Nanakheda,23.16,75.79,2025-11-16 01:31:34,339.13,0.02,4.62,58.27,2.53,46.84,61.16,9.87,3,Live
Ujjain - Mahakal,23.18,75.77,2025-11-16 01:31:34,339.13,0.02,4.62,58.27,2.53,46.84,61.16,9.87,3,Live
Ujjain - Dewas Gate,23.19,75.79,2025-11-16 01:31:34,339.13,0.02,4.62,58.27,2.53,46.84,61.16,9.87,3,Live
Ujjain - Vikram Nagar,23.2,75.82,2025-11-16 01:31:34,368.15,0.03,5.84,41.57,2.16,48.11,62.22,11.28,3,Live
Ujjain - Engineering College Road,23.21,75.82,2025-11-16 01:31:34,368.15,0.03,5.84,41.57,2.16,48.11,62.22,11.28,3,Live
Ujjain - Agar Road,23.21,75.78,2025-11-16 01:31:34,369.29,0.03,5.74,43.62,2.26,49.07,63.67,11.51,3,Live
Ujjain - Indore Road,23.18,75.81,2025-11-16 01:31:34,340.73,0.03,4.72,55.55,2.44,46.24,60.14,9.86,3,Live
Ujjain - Industrial Area,23.22,75.8,2025-11-16 01:31:34,368.15,0.03,5.84,41.57,2.16,48.11,62.22,11.28,3,Live
Ujjain - Railway Station,23.19,75.79,2025-11-16 01:31:34,339.13,0.02,4.62,58.27,2.53,46.84,61.16,9.87,3,Live
Ujjain - Jaisinghpura,23.2,75.79,2025-11-16 01:31:34,369.29,0.03,5.74,43.62,2.26,49.07,63.67,11.51,3,Live
Ujjain - Gopal Mandir,23.18,75.79,2025-11-16 01:31:34,339.13,0.02,4.62,58.27,2.53,46.84,61.16,9.87,3,Live
Dewas - City Center,22.97,76.05,2025-11-16 01:31:34,318.13,0.02,3.74,65.79,2.63,44.11,57.48,8.68,3,Live
Dewas - Industrial Area,22.95,76.07,2025-11-16 01:31:34,318.13,0.02,3.74,65.79,2.63,44.11,57.48,8.68,3,Live
Dewas - Uday Nagar,23.01,76.09,2025-11-16 01:31:34,342.33,0.03,4.83,52.82,2.35,45.64,59.12,9.85,3,Live
Dewas - Station Road,22.97,76.06,2025-11-16 01:31:34,318.13,0.02,3.74,65.79,2.63,44.11,57.48,8.68,3,Live
Dewas - A.B. Road,22.96,76.07,2025-11-16 01:31:34,318.13,0.02,3.74,65.79,2.63,44.11,57.48,8.68,3,Live
Dewas - Rajendra Nagar,22.98,76.05,2025-11-16 01:31:34,318.13,0.02,3.74,65.79,2.63,44.11,57.48,8.68,3,Live
Dewas - Bavlia,22.95,76.1,2025-11-16 01:31:34,318.13,0.02,3.74,65.79,2.63,44.11,57.48,8.68,3,Live
Dewas - Bhopal Road,22.99,76.08,2025-11-16 01:31:34,318.13,0.02,3.74,65.79,2.63,44.11,57.48,8.68,3,Live
Dewas - Meera Nagar,22.96,76.04,2025-11-16 01:31:34,318.13,0.02,3.74,65.79,2.63,44.11,57.48,8.68,3,Live
Dewas - Kailash Nagar,22.95,76.05,2025-11-16 01:31:34,318.13,0.02,3.74,65.79,2.63,44.11,57.48,8.68,3,Live
Dewas - Hatpipliya Road,22.93,76.07,2025-11-16 01:31:34,318.13,0.02,3.74,65.79,2.63,44.11,57.48,8.68,3,Live
Dewas - Kalani Nagar,22.97,76.09,2025-11-16 01:31:34,318.13,0.02,3.74,65.79,2.63,44.11,57.48,8.68,3,Live
Indore - MG Road,22.718,75.847,2025-11-16 01:41:45,287.55,0.01,2.57,82.46,2.97,42.48,55.98,7.11,3,Live
Indore - Vijay Nagar,22.735,75.88,2025-11-16 01:41:45,287.55,0.01,2.57,82.46,2.97,42.48,55.98,7.11,3,Live
Indore - AB Road,22.726,75.889,2025-11-16 01:41:45,287.55,0.01,2.57,82.46,2.97,42.48,55.98,7.11,3,Live
Indore - Rau,22.74,75.83,2025-11-16 01:41:45,287.55,0.01,2.57,82.46,2.97,42.48,55.98,7.11,3,Live
Indore - Palasia,22.72,75.88,2025-11-16 01:41:45,287.55,0.01,2.57,82.46,2.97,42.48,55.98,7.11,3,Live
Indore - Rajwada,22.7196,75.855,2025-11-16 01:41:45,287.55,0.01,2.57,82.46,2.97,42.48,55.98,7.11,3,Live
Indore - Airport Road,22.72,75.8,2025-11-16 01:41:45,287.55,0.01,2.57,82.46,2.97,42.48,55.98,7.11,3,Live
Indore - Bhawarkua,22.72,75.84,2025-11-16 01:41:45,287.55,0.01,2.57,82.46,2.97,42.48,55.98,7.11,3,Live
Indore - Annapurna,22.7,75.86,2025-11-16 01:41:45,287.55,0.01,2.57,82.46,2.97,42.48,55.98,7.11,3,Live
Indore - Sanwer Road Industrial,22.79,75.84,2025-11-16 01:41:45,287.55,0.01,2.57,82.46,2.97,42.48,55.98,7.11,3,Live
Indore - Ring Road,22.74,75.88,2025-11-16 01:41:45,287.55,0.01,2.57,82.46,2.97,42.48,55.98,7.11,3,Live
Indore - CAT Road,22.78,75.86,2025-11-16 01:41:45,287.55,0.01,2.57,82.46,2.97,42.48,55.98,7.11,3,Live
Indore - Mhow Naka,22.69,75.87,2025-11-16 01:41:45,287.55,0.01,2.57,82.46,2.97,42.48,55.98,7.11,3,Live
Bhopal - MP Nagar,23.238,77.4125,2025-11-16 01:41:45,321.54,0.02,2.64,68.21,1.69,40.9,48.8,10.01,3,Live
Bhopal - Habibganj,23.26,77.398,2025-11-16 01:41:45,332.8,0.02,3.32,60.31,1.52,40.67,48.95,10.14,3,Live
Bhopal - Arera Hills,23.251,77.412,2025-11-16 01:41:45,321.54,0.02,2.64,68.21,1.69,40.9,48.8,10.01,3,Live
Bhopal - Ayodhya Bypass,23.267,77.435,2025-11-16 01:41:45,321.54,0.02,2.64,68.21,1.69,40.9,48.8,10.01,3,Live
Bhopal - Lalghati,23.285,77.383,2025-11-16 01:41:45,332.8,0.02,3.32,60.31,1.52,40.67,48.95,10.14,3,Live
Bhopal - Kolar Road,23.2,77.43,2025-11-16 01:41:45,321.54,0.02,2.64,68.21,1.69,40.9,48.8,10.01,3,Live
Bhopal - Bairagarh,23.29,77.36,2025-11-16 01:41:45,332.8,0.02,3.32,60.31,1.52,40.67,48.95,10.14,3,Live
Bhopal - Govindpura Industrial,23.26,77.47,2025-11-16 01:41:45,321.54,0.02,2.64,68.21,1.69,40.9,48.8,10.01,3,Live
Bhopal - Misrod,23.2,77.49,2025-11-16 01:41:45,321.54,0.02,2.64,68.21,1.69,40.9,48.8,10.01,3,Live
Bhopal - BHEL Area,23.27,77.49,2025-11-16 01:41:45,321.54,0.02,2.64,68.21,1.69,40.9,48.8,10.01,3,Live
Bhopal - Shahpura,23.21,77.43,2025-11-16 01:41:45,321.54,0.02,2.64,68.21,1.69,40.9,48.8,10.01,3,Live
Bhopal - Piplani,23.25,77.48,2025-11-16 01:41:45,321.54,0.02,2.64,68.21,1.69,40.9,48.8,10.01,3,Live
Bhopal - Ashoka Garden,23.27,77.42,2025-11-16 01:41:45,321.54,0.02,2.64,68.21,1.69,40.9,48.8,10.01,3,Live
Ujjain - Freeganj,23.18,75.78,2025-11-16 01:41:45,339.13,0.02,4.62,58.27,2.53,46.84,61.16,9.87,3,Live
Ujjain - Nanakheda,23.16,75.79,2025-11-16 01:41:45,339.13,0.02,4.62,58.27,2.53,46.84,61.16,9.87,3,Live
Ujjain - Mahakal,23.18,75.77,2025-11-16 01:41:45,339.13,0.02,4.62,58.27,2.53,46.84,61.16,9.87,3,Live
Ujjain - Dewas Gate,23.19,75.79,2025-11-16 01:41:45,339.13,0.02,4.62,58.27,2.53,46.84,61.16,9.87,3,Live
Ujjain - Vikram Nagar,23.2,75.82,2025-11-16 01:41:45,368.15,0.03,5.84,41.57,2.16,48.11,62.22,11.28,3,Live
Ujjain - Engineering College Road,23.21,75.82,2025-11-16 01:41:45,368.15,0.03,5.84,41.57,2.16,48.11,62.22,11.28,3,Live
Ujjain - Agar Road,23.21,75.78,2025-11-16 01:41:45,369.29,0.03,5.74,43.62,2.26,49.07,63.67,11.51,3,Live
Ujjain - Indore Road,23.18,75.81,2025-11-16 01:41:45,340.73,0.03,4.72,55.55,2.44,46.24,60.14,9.86,3,Live
Ujjain - Industrial Area,23.22,75.8,2025-11-16 01:41:45,368.15,0.03,5.84,41.57,2.16,48.11,62.22,11.28,3,Live
Ujjain - Railway Station,23.19,75.79,2025-11-16 01:41:45,339.13,0.02,4.62,58.27,2.53,46.84,61.16,9.87,3,Live
Ujjain - Jaisinghpura,23.2,75.79,2025-11-16 01:41:45,369.29,0.03,5.74,43.62,2.26,49.07,63.67,11.51,3,Live
Ujjain - Gopal Mandir,23.18,75.79,2025-11-16 01:41:45,339.13,0.02,4.62,58.27,2.53,46.84,61.16,9.87,3,Live
Dewas - City Center,22.97,76.05,2025-11-16 01:41:45,318.13,0.02,3.74,65.79,2.63,44.11,57.48,8.68,3,Live
Dewas - Industrial Area,22.95,76.07,2025-11-16 01:41:45,318.13,0.02,3.74,65.79,2.63,44.11,57.48,8.68,3,Live
Dewas - Uday Nagar,23.01,76.09,2025-11-16 01:41:45,342.33,0.03,4.83,52.82,2.35,45.64,59.12,9.85,3,Live
Dewas - Station Road,22.97,76.06,2025-11-16 01:41:45,318.13,0.02,3.74,65.79,2.63,44.11,57.48,8.68,3,Live
Dewas - A.B. Road,22.96,76.07,2025-11-16 01:41:45,318.13,0.02,3.74,65.79,2.63,44.11,57.48,8.68,3,Live
Dewas - Rajendra Nagar,22.98,76.05,2025-11-16 01:41:45,318.13,0.02,3.74,65.79,2.63,44.11,57.48,8.68,3,Live
Dewas - Bavlia,22.95,76.1,2025-11-16 01:41:45,318.13,0.02,3.74,65.79,2.63,44.11,57.48,8.68,3,Live
Dewas - Bhopal Road,22.99,76.08,2025-11-16 01:41:45,318.13,0.02,3.74,65.79,2.63,44.11,57.48,8.68,3,Live
