city,latitude,longitude,timestamp,currentSpeed,freeFlowSpeed,currentTravelTime,freeFlowTravelTime,confidence,roadClosure
Indore,22.7196,75.8577,2025-11-14 14:57:01.948553,12,22,241,131,1.0,False
Dewas,22.9676,76.0534,2025-11-14 14:57:02.556387,35,44,987,785,0.961205,False
Ujjain,23.1765,75.7885,2025-11-14 14:57:03.178604,27,27,283,283,1.0,False
Bhopal,23.2599,77.4126,2025-11-14 14:57:03.787736,18,21,546,468,0.771841,False
Indore,22.7196,75.8577,2025-11-14 14:57:34.426912,12,22,241,131,1.0,False
Dewas,22.9676,76.0534,2025-11-14 14:57:35.050382,35,43,987,804,0.970098,False
Ujjain,23.1765,75.7885,2025-11-14 14:57:35.693823,27,27,283,283,1.0,False
Bhopal,23.2599,77.4126,2025-11-14 14:57:36.318887,18,22,546,447,0.771841,False
Indore,22.7196,75.8577,2025-11-14 14:58:07.037453,11,21,263,138,1.0,False
Dewas,22.9676,76.0534,2025-11-14 14:58:07.698914,35,43,987,804,0.965716,False
Ujjain,23.1765,75.7885,2025-11-14 14:58:08.359080,21,25,364,306,0.939127,False
Bhopal,23.2599,77.4126,2025-11-14 14:58:09.185139,18,21,546,468,0.765879,False
Indore,22.7196,75.8577,2025-11-14 14:58:39.819633,11,22,263,131,0.99,False
Dewas,22.9676,76.0534,2025-11-14 14:58:40.541561,35,43,987,804,0.966255,False
Ujjain,23.1765,75.7885,2025-11-14 14:58:41.256286,21,25,364,306,0.936365,False
Bhopal,23.2599,77.4126,2025-11-14 14:58:41.881388,18,21,546,468,0.753226,False
Indore,22.7196,75.8577,2025-11-14 14:59:12.500717,13,21,222,138,0.99,False
Dewas,22.9676,76.0534,2025-11-14 14:59:13.116547,35,43,987,804,0.966255,False
Ujjain,23.1765,75.7885,2025-11-14 14:59:13.719522,21,25,364,306,0.937428,False
Bhopal,23.2599,77.4126,2025-11-14 14:59:14.349656,18,22,546,447,0.749377,False
Indore,22.7196,75.8577,2025-11-14 14:59:45.041103,13,22,222,131,0.99,False
Dewas,22.9676,76.0534,2025-11-14 14:59:45.686453,35,44,987,785,0.967332,False
Ujjain,23.1765,75.7885,2025-11-14 14:59:46.368612,21,25,364,306,0.937428,False
Bhopal,23.2599,77.4126,2025-11-14 14:59:47.268642,22,22,447,447,1.0,False
Indore,22.7196,75.8577,2025-11-14 15:00:18.021697,14,22,207,131,1.0,False
Dewas,22.9676,76.0534,2025-11-14 15:00:18.790468,35,43,987,804,0.967332,False
Ujjain,23.1765,75.7885,2025-11-14 15:00:19.636347,21,26,364,294,0.93273,False
Bhopal,23.2599,77.4126,2025-11-14 15:00:20.453116,22,22,447,447,1.0,False
Indore,22.7196,75.8577,2025-11-14 15:00:51.083993,14,22,207,131,1.0,False
Dewas,22.9676,76.0534,2025-11-14 15:00:51.701122,35,43,987,804,0.967332,False
Ujjain,23.1765,75.7885,2025-11-14 15:00:52.357188,21,26,364,294,0.93273,False
Bhopal,23.2599,77.4126,2025-11-14 15:00:53.256934,22,22,447,447,1.0,False
Indore,22.7196,75.8577,2025-11-14 15:01:23.906437,12,22,241,131,0.99,False
Dewas,22.9676,76.0534,2025-11-14 15:01:24.560187,35,43,987,804,0.967332,False
Ujjain,23.1765,75.7885,2025-11-14 15:01:25.192183,20,26,382,294,0.93273,False
Bhopal,23.2599,77.4126,2025-11-14 15:01:25.799741,22,22,447,447,1.0,False
Indore,22.7196,75.8577,2025-11-14 15:01:56.435045,12,22,241,131,0.99,False
Dewas,22.9676,76.0534,2025-11-14 15:01:57.054607,35,43,987,804,0.967332,False
Ujjain,23.1765,75.7885,2025-11-14 15:01:57.689700,20,26,382,294,0.938032,False
Bhopal,23.2599,77.4126,2025-11-14 15:01:58.320342,22,22,447,447,1.0,False
Indore,22.7196,75.8577,2025-11-14 15:02:28.958469,14,21,207,138,0.99,False
Dewas,22.9676,76.0534,2025-11-14 15:02:29.568997,35,43,987,804,0.967332,False
Ujjain,23.1765,75.7885,2025-11-14 15:02:30.197339,20,26,382,294,0.938032,False
Bhopal,23.2599,77.4126,2025-11-14 15:02:30.829642,22,22,447,447,1.0,False
Indore,22.7196,75.8577,2025-11-14 15:03:01.449640,13,21,222,138,0.99,False
Dewas,22.9676,76.0534,2025-11-14 15:03:02.059470,35,43,987,804,0.967332,False
Ujjain,23.1765,75.7885,2025-11-14 15:03:02.668647,20,26,382,294,0.938032,False
Bhopal,23.2599,77.4126,2025-11-14 15:03:03.278370,22,22,447,447,1.0,False
Indore,22.7196,75.8577,2025-11-14 15:03:33.886110,13,22,222,131,0.99,False
Dewas,22.9676,76.0534,2025-11-14 15:03:34.484941,35,43,987,804,0.967332,False
Ujjain,23.1765,75.7885,2025-11-14 15:03:35.115915,20,26,382,294,0.935269,False
Bhopal,23.2599,77.4126,2025-11-14 15:03:35.722338,22,22,447,447,1.0,False
Indore,22.7196,75.8577,2025-11-14 15:04:06.333567,12,22,241,131,0.99,False
Dewas,22.9676,76.0534,2025-11-14 15:04:06.937034,35,44,987,785,0.967332,False
Ujjain,23.1765,75.7885,2025-11-14 15:04:07.570140,20,26,382,294,0.935269,False
Bhopal,23.2599,77.4126,2025-11-14 15:04:08.216633,22,22,447,447,1.0,False
Indore,22.7196,75.8577,2025-11-14 15:04:38.828027,12,22,241,131,0.99,False
Dewas,22.9676,76.0534,2025-11-14 15:04:39.453141,35,44,987,785,0.967332,False
Ujjain,23.1765,75.7885,2025-11-14 15:04:40.044732,20,26,382,294,0.935269,False
Bhopal,23.2599,77.4126,2025-11-14 15:04:40.663424,22,22,447,447,1.0,False
Indore,22.7196,75.8577,2025-11-14 15:05:11.294739,12,22,241,131,0.99,False
Dewas,22.9676,76.0534,2025-11-14 15:05:11.924742,35,44,987,785,0.973335,False
Ujjain,23.1765,75.7885,2025-11-14 15:05:12.558709,20,26,382,294,0.936332,False
Bhopal,23.2599,77.4126,2025-11-14 15:05:13.193702,22,22,447,447,1.0,False
Indore,22.7196,75.8577,2025-11-14 15:05:43.850053,11,22,263,131,0.99,False
Dewas,22.9676,76.0534,2025-11-14 15:05:44.468239,35,44,987,785,0.973873,False
